# buoy ID | latitude | longitude | type
41002     | 31.759   | -74.936   | OCEAN_BUOY
41004     | 32.502   | -79.099   | OCEAN_BUOY
41008     | 31.4     | -80.866   | OCEAN_BUOY
41010     | 28.878   | -78.485   | OCEAN_BUOY
41025     | 35.01    | -75.454   | OCEAN_BUOY
41040     | 14.54    | -53.329   | OCEAN_BUOY
41041     | 14.453   | -46.327   | OCEAN_BUOY
41043     | 21.026   | -64.793   | OCEAN_BUOY
41044     | 21.582   | -58.63    | OCEAN_BUOY
41046     | 23.822   | -68.384   | OCEAN_BUOY
41047     | 27.465   | -71.452   | OCEAN_BUOY
41048     | 31.831   | -69.573   | OCEAN_BUOY
41049     | 27.49    | -62.938   | OCEAN_BUOY
42001     | 25.919   | -89.674   | OCEAN_BUOY
42002     | 26.055   | -93.646   | OCEAN_BUOY
42003     | 25.925   | -85.616   | OCEAN_BUOY
42012     | 25.925   | -85.616   | OCEAN_BUOY
42019     | 27.91    | -95.345   | OCEAN_BUOY
42020     | 26.968   | -96.693   | OCEAN_BUOY
42035     | 29.232   | -94.413   | OCEAN_BUOY
42036     | 28.501   | -84.508   | OCEAN_BUOY
42039     | 28.787   | -86.007   | OCEAN_BUOY
42040     | 29.207   | -88.237   | OCEAN_BUOY
42055     | 22.124   | -93.941   | OCEAN_BUOY
42056     | 19.82    | -84.945   | OCEAN_BUOY
42057     | 16.908   | -81.422   | OCEAN_BUOY
42058     | 14.394   | -74.816   | OCEAN_BUOY
42059     | 15.3     | -67.483   | OCEAN_BUOY
42060     | 16.434   | -63.329   | OCEAN_BUOY
44005     | 43.201   | -69.127   | OCEAN_BUOY
44007     | 43.525   | -70.14    | OCEAN_BUOY
44008     | 40.496   | -69.25    | OCEAN_BUOY
44009     | 38.46    | -74.692   | OCEAN_BUOY
44011     | 41.093   | -66.562   | OCEAN_BUOY
44013     | 42.346   | -70.651   | OCEAN_BUOY
44014     | 36.609   | -74.842   | OCEAN_BUOY
44017     | 40.693   | -72.049   | OCEAN_BUOY
44018     | 42.203   | -70.154   | OCEAN_BUOY
44020     | 41.493   | -70.279   | OCEAN_BUOY
44025     | 40.251   | -73.164   | OCEAN_BUOY
44027     | 44.283   | -67.3     | OCEAN_BUOY
44065     | 40.369   | -73.703   | OCEAN_BUOY
44066     | 39.618   | -72.644   | OCEAN_BUOY
45001     | 48.061   | -87.793   | LAKE_BUOY
45002     | 45.344   | -86.411   | LAKE_BUOY
45003     | 45.351   | -82.84    | LAKE_BUOY
45004     | 47.585   | -86.585   | LAKE_BUOY
45006     | 47.335   | -89.793   | LAKE_BUOY
45007     | 42.674   | -87.026   | LAKE_BUOY
45008     | 44.283   | -82.416   | LAKE_BUOY
45012     | 43.621   | -77.401   | LAKE_BUOY
46001     | 56.3     | -148.018  | OCEAN_BUOY
46002     | 42.662   | -130.507  | OCEAN_BUOY
46005     | 46.134   | -131.079  | OCEAN_BUOY
46011     | 34.936   | -120.998  | OCEAN_BUOY
46012     | 37.356   | -122.881  | OCEAN_BUOY
46013     | 38.235   | -123.317  | OCEAN_BUOY
46015     | 42.752   | -124.844  | OCEAN_BUOY
46022     | 40.748   | -124.527  | OCEAN_BUOY
46025     | 33.755   | -119.045  | OCEAN_BUOY
46026     | 37.754   | -122.839  | OCEAN_BUOY
46027     | 41.84    | -124.382  | OCEAN_BUOY
46028     | 35.77    | -121.903  | OCEAN_BUOY
46029     | 46.163   | -124.487  | OCEAN_BUOY
46035     | 57.016   | -177.703  | OCEAN_BUOY
46041     | 47.352   | -124.739  | OCEAN_BUOY
46042     | 36.785   | -122.396  | OCEAN_BUOY
46047     | 32.388   | -119.525  | OCEAN_BUOY
46050     | 44.669   | -124.546  | OCEAN_BUOY
46054     | 34.274   | -120.468  | OCEAN_BUOY
46060     | 60.586   | -146.787  | OCEAN_BUOY
46061     | 60.238   | -146.833  | OCEAN_BUOY
46066     | 52.765   | -155.009  | OCEAN_BUOY
46069     | 33.677   | -120.213  | OCEAN_BUOY
46070     | 55.008   | 175.183   | OCEAN_BUOY
46071     | 51.022   | 179.784   | OCEAN_BUOY
46072     | 51.666   | -172.114  | OCEAN_BUOY
46073     | 55.008   | -172.012  | OCEAN_BUOY
46075     | 53.969   | -160.794  | OCEAN_BUOY
46076     | 59.471   | -148.009  | OCEAN_BUOY
46077     | 57.869   | -154.211  | OCEAN_BUOY
46078     | 55.557   | -152.641  | OCEAN_BUOY
46080     | 57.947   | -150.042  | OCEAN_BUOY
46081     | 60.802   | -148.283  | COAST_BUOY
46082     | 59.67    | -143.353  | OCEAN_BUOY
46083     | 58.27    | -138.019  | OCEAN_BUOY
46084     | 56.622   | -136.102  | OCEAN_BUOY
46085     | 55.878   | -142.876  | OCEAN_BUOY
46086     | 32.499   | -118.052  | OCEAN_BUOY
46087     | 48.493   | -124.727  | OCEAN_BUOY
46088     | 48.332   | -123.179  | OCEAN_BUOY
46089     | 45.936   | -125.793  | OCEAN_BUOY
51000     | 23.528   | -153.792  | OCEAN_BUOY
51002     | 17.042   | -157.746  | OCEAN_BUOY
51003     | 19.196   | -160.639  | OCEAN_BUOY
51004     | 17.538   | -152.23   | OCEAN_BUOY
51101     | 24.359   | -162.081  | OCEAN_BUOY
BLIA2     | 60.839   | -146.884  | COAST_STATION
BURL1     | 28.905   | -89.428   | COAST_STATION
