# buoy ID | latitude | longitude | type          | anemometer height
41002     | 31.759   | -74.936   | OCEAN_BUOY    | 4.1
41004     | 32.502   | -79.099   | OCEAN_BUOY    | 4.1
41008     | 31.4     | -80.866   | OCEAN_BUOY    | 4.9
41009     | 28.508   | -80.185   | OCEAN_BUOY    | 4.1
41010     | 28.878   | -78.485   | OCEAN_BUOY    | 4.1
41025     | 35.01    | -75.454   | OCEAN_BUOY    | 3.8
41040     | 14.54    | -53.329   | OCEAN_BUOY    | 4.1
41041     | 14.453   | -46.327   | OCEAN_BUOY    | 3.8
41043     | 21.026   | -64.793   | OCEAN_BUOY    | 4.1
41044     | 21.582   | -58.63    | OCEAN_BUOY    | 3.8
41046     | 23.822   | -68.384   | OCEAN_BUOY    | 3.8
41047     | 27.465   | -71.452   | OCEAN_BUOY    | 4.1
41048     | 31.831   | -69.573   | OCEAN_BUOY    | 4.1
41049     | 27.49    | -62.938   | OCEAN_BUOY    | 4.1
42001     | 25.919   | -89.674   | OCEAN_BUOY    | 4.1
42002     | 26.055   | -93.646   | OCEAN_BUOY    | 3.8
42003     | 25.925   | -85.616   | OCEAN_BUOY    | 3.2
42012     | 25.925   | -85.616   | OCEAN_BUOY    | 3.8
42019     | 27.91    | -95.345   | OCEAN_BUOY    | 3.2
42020     | 26.968   | -96.693   | OCEAN_BUOY    | 4.1
42035     | 29.232   | -94.413   | OCEAN_BUOY    | 4.1
42036     | 28.501   | -84.508   | OCEAN_BUOY    | 4.1
42039     | 28.787   | -86.007   | OCEAN_BUOY    | 4.1
42040     | 29.207   | -88.237   | OCEAN_BUOY    | 4.1
42055     | 22.124   | -93.941   | OCEAN_BUOY    | 4.1
42056     | 19.82    | -84.945   | OCEAN_BUOY    | 4.1
42057     | 16.908   | -81.422   | OCEAN_BUOY    | 3.8
42058     | 14.394   | -74.816   | OCEAN_BUOY    | 3.8
42059     | 15.3     | -67.483   | OCEAN_BUOY    | 4.1
42060     | 16.434   | -63.329   | OCEAN_BUOY    | 3.8
44005     | 43.201   | -69.127   | OCEAN_BUOY    | 4.9
44007     | 43.525   | -70.14    | OCEAN_BUOY    | 4.1
44008     | 40.496   | -69.25    | OCEAN_BUOY    | 4.1
44009     | 38.46    | -74.692   | OCEAN_BUOY    | 3.8
44011     | 41.093   | -66.562   | OCEAN_BUOY    | 4.1
44013     | 42.346   | -70.651   | OCEAN_BUOY    | 3.2
44014     | 36.609   | -74.842   | OCEAN_BUOY    | 3.2
44017     | 40.693   | -72.049   | OCEAN_BUOY    | 4.1
44018     | 42.203   | -70.154   | OCEAN_BUOY    | 4.1
44020     | 41.493   | -70.279   | OCEAN_BUOY    | 4.1
44025     | 40.251   | -73.164   | OCEAN_BUOY    | 4.1
44027     | 44.283   | -67.3     | OCEAN_BUOY    | 4.1
44065     | 40.369   | -73.703   | OCEAN_BUOY    | 4.1
44066     | 39.618   | -72.644   | OCEAN_BUOY    | 4.1
45001     | 48.061   | -87.793   | LAKE_BUOY     | 3.2
45002     | 45.344   | -86.411   | LAKE_BUOY     | 3.2
45003     | 45.351   | -82.84    | LAKE_BUOY     | 5.0
45004     | 47.585   | -86.585   | LAKE_BUOY     | 3.6
45006     | 47.335   | -89.793   | LAKE_BUOY     | 3.6
45007     | 42.674   | -87.026   | LAKE_BUOY     | 3.6
45008     | 44.283   | -82.416   | LAKE_BUOY     | 3.6
45012     | 43.621   | -77.401   | LAKE_BUOY     | 3.6
46001     | 56.3     | -148.018  | OCEAN_BUOY    | 3.8
46002     | 42.662   | -130.507  | OCEAN_BUOY    | 3.8
46005     | 46.134   | -131.079  | OCEAN_BUOY    | 4.1
46011     | 34.936   | -120.998  | OCEAN_BUOY    | 3.8
46012     | 37.356   | -122.881  | OCEAN_BUOY    | 3.8
46013     | 38.235   | -123.317  | OCEAN_BUOY    | 3.8
46015     | 42.752   | -124.844  | OCEAN_BUOY    | 4.1
46022     | 40.748   | -124.527  | OCEAN_BUOY    | 3.8
46025     | 33.755   | -119.045  | OCEAN_BUOY    | 3.8
46026     | 37.754   | -122.839  | OCEAN_BUOY    | 3.8
46027     | 41.84    | -124.382  | OCEAN_BUOY    | 3.8
46028     | 35.77    | -121.903  | OCEAN_BUOY    | 4.1
46029     | 46.163   | -124.487  | OCEAN_BUOY    | 3.8
46035     | 57.016   | -177.703  | OCEAN_BUOY    | 5.0
46041     | 47.352   | -124.739  | OCEAN_BUOY    | 3.8
46042     | 36.785   | -122.396  | OCEAN_BUOY    | 3.8
46047     | 32.388   | -119.525  | OCEAN_BUOY    | 3.8
46050     | 44.669   | -124.546  | OCEAN_BUOY    | 4.1
46054     | 34.274   | -120.468  | OCEAN_BUOY    | 3.8
46060     | 60.586   | -146.787  | OCEAN_BUOY    | 4.9
46061     | 60.238   | -146.833  | OCEAN_BUOY    | 4.9
46066     | 52.765   | -155.009  | OCEAN_BUOY    | 3.8
46069     | 33.677   | -120.213  | OCEAN_BUOY    | 3.8
46070     | 55.008   | 175.183   | OCEAN_BUOY    | 5.0
46071     | 51.022   | 179.784   | OCEAN_BUOY    | 3.8
46072     | 51.666   | -172.114  | OCEAN_BUOY    | 3.8
46073     | 55.008   | -172.012  | OCEAN_BUOY    | 4.9
46075     | 53.969   | -160.794  | OCEAN_BUOY    | 3.8
46076     | 59.471   | -148.009  | OCEAN_BUOY    | 3.8
46077     | 57.869   | -154.211  | OCEAN_BUOY    | 4.9
46078     | 55.557   | -152.641  | OCEAN_BUOY    | 3.8
46080     | 57.947   | -150.042  | OCEAN_BUOY    | 4.9
46081     | 60.802   | -148.283  | COAST_BUOY    | 4.9
46082     | 59.67    | -143.353  | OCEAN_BUOY    | 5.0
46083     | 58.27    | -138.019  | OCEAN_BUOY    | 4.9
46084     | 56.622   | -136.102  | OCEAN_BUOY    | 3.8
46085     | 55.878   | -142.876  | OCEAN_BUOY    | 3.8
46086     | 32.499   | -118.052  | OCEAN_BUOY    | 4.1
46087     | 48.493   | -124.727  | OCEAN_BUOY    | 3.8
46088     | 48.332   | -123.179  | OCEAN_BUOY    | 3.8
46089     | 45.936   | -125.793  | OCEAN_BUOY    | 3.8
51000     | 23.528   | -153.792  | OCEAN_BUOY    | 4.1
51002     | 17.042   | -157.746  | OCEAN_BUOY    | 4.1
51003     | 19.196   | -160.639  | OCEAN_BUOY    | 3.8
51004     | 17.538   | -152.23   | OCEAN_BUOY    | 4.1
51101     | 24.359   | -162.081  | OCEAN_BUOY    | 4.1
BLIA2     | 60.839   | -146.884  | COAST_STATION | 21.6
BURL1     | 28.905   | -89.428   | COAST_STATION | 38.0
BUZM3     | 41.397   | -71.033   | OCEAN_STATION | 24.8
CDRF1     | 29.136   | -83.029   | COAST_STATION | 10.0
CHLV2     | 36.905   | -75.713   | OCEAN_STATION | 43.3
FWYF1     | 25.591   | -80.097   | OCEAN_STATION | 43.9
IOSN3     | 42.967   | -70.623   | COAST_STATION | 19.2
LONF1     | 24.844   | -80.864   | COAST_STATION | 6.34
MDRM1     | 43.969   | -68.128   | OCEAN_STATION | 22.6
MISM1     | 43.784   | -68.855   | COAST_STATION | 7.1
MLRF1     | 25.012   | -80.376   | OCEAN_STATION | 15.8
PILA2     | 59.742   | -149.470  | COAST_STATION | 6.6
PLSF1     | 24.693   | -82.773   | OCEAN_STATION | 17.7
SGOF1     | 29.408   | -84.858   | OCEAN_STATION | 35.1
SISW1     | 48.321   | -122.831  | OCEAN_STATION | 20.2
SPGF1     | 26.704   | -78.995   | COAST_STATION | 6.6
STDM4     | 47.184   | -87.225   | LAKE_STATION  | 35.2
