bayes_in						| flags_in.nc
cloud_in						| flags_in.nc
confidence_in					| flags_in.nc
pointing_in						| flags_in.nc
probability_cloud_dual_in		| flags_in.nc
probability_cloud_single_in		| flags_in.nc
bayes_io						| flags_io.nc
cloud_io						| flags_io.nc
confidence_io					| flags_io.nc
pointing_io						| flags_io.nc
probability_cloud_dual_io		| flags_io.nc
probability_cloud_single_io		| flags_io.nc
sat_azimuth_tn					| geometry_tn.nc
sat_path_tn						| geometry_tn.nc
sat_zenith_tn					| geometry_tn.nc
solar_azimuth_tn				| geometry_tn.nc
solar_path_tn					| geometry_tn.nc
solar_zenith_tn					| geometry_tn.nc
sat_azimuth_to					| geometry_to.nc
sat_path_to						| geometry_to.nc
sat_zenith_to					| geometry_to.nc
solar_azimuth_to				| geometry_to.nc
solar_path_to					| geometry_to.nc
solar_zenith_to					| geometry_to.nc
detector_in						| indices_in.nc
pixel_in						| indices_in.nc
scan_in							| indices_in.nc
detector_io						| indices_io.nc
pixel_io						| indices_io.nc
scan_io							| indices_io.nc
S1_radiance_in					| S1_radiance_in.nc
S1_radiance_io					| S1_radiance_io.nc
S2_radiance_in					| S2_radiance_in.nc
S2_radiance_io					| S2_radiance_io.nc
S3_radiance_in					| S3_radiance_in.nc
S3_radiance_io					| S3_radiance_io.nc
S4_radiance_in					| S4_radiance_in.nc
S4_radiance_io					| S4_radiance_io.nc
S5_radiance_in					| S5_radiance_in.nc
S5_radiance_io					| S5_radiance_io.nc
S6_radiance_in					| S6_radiance_in.nc
S6_radiance_io					| S6_radiance_io.nc
S7_BT_in						| S7_BT_in.nc
S7_exception_in         		| S7_BT_in.nc
S7_BT_io						| S7_BT_io.nc
S7_exception_io         		| S7_BT_io.nc
S8_BT_in						| S8_BT_in.nc
S8_exception_in         		| S8_BT_in.nc
S8_BT_io						| S8_BT_io.nc
S8_exception_io         		| S8_BT_io.nc
S9_BT_in						| S9_BT_in.nc
S9_exception_in         		| S9_BT_in.nc
S9_BT_io						| S9_BT_io.nc
S9_exception_io         		| S9_BT_io.nc
time_stamp_i					| time_in.nc
latitude_in                     | geodetic_in.nc
longitude_in                    | geodetic_in.nc
